Company,Description,Industries,URL,founder1_name,founder1_linkedin,founder2_name,founder2_linkedin,founder3_name,founder3_linkedin,lead_score,funnel_stage
Certus AI,Replacing the restaurant phone line with Voice AI,"SUMMER 2025, B2B",https://www.certus-ai.com/,Adam Gamieldien,https://www.linkedin.com/in/adam-gamieldien-067605247/,Isaac Nichols,https://www.linkedin.com/in/isaac-nichols-963857251/,Gurveer Singh,https://www.linkedin.com/in/gurveer-singh-35168031b/,35,Demo-Ready
burnt,Agentic Operating System for Food Supply Chain,"SUMMER 2025, B2B, SUPPLY CHAIN AND LOGISTICS",https://getburnt.ai/,Joseph Jacob,https://www.linkedin.com/in/josephjacob93,Rhea Karimpanal,https://www.linkedin.com/in/rheakarimpanal/,Chandru Shanumugasundaram,https://linkedin.com/in/chandrushanmugasundaram,35,Demo-Ready
Paloma,"AI-native CRM for billing, renewals, and expansions","SUMMER 2025, B2B",https://getpaloma.ai/,Alex Avnit,https://www.linkedin.com/in/alex-avnit-222b3611a/,Nazli Danis,https://www.linkedin.com/in/nazlidanis/,Kaiwen Song,https://www.linkedin.com/in/kaiwen-song/,35,Demo-Ready
Uplift AI,Foundational Voice AI for underserved languages,"SUMMER 2025, B2B",https://upliftai.org/,Muhammad Bin Sabir,https://linkedin.com/in/muhammad-sabir,Hammad Malik,https://www.linkedin.com/in/hammad2,Zaid Qureshi,https://linkedin.com/in/zaidqureshi,35,Demo-Ready
Vulcan Technologies,AI regulatory drafting and compliance,"SUMMER 2025, B2B, LEGAL",https://www.vulcan-tech.com/,Tanner Jones,https://www.linkedin.com/in/tanner-jones-817192167/,Aleksander Mekhanik,https://www.linkedin.com/in/aleksander-mekhanik-41547b272/,Chris Minge,https://www.linkedin.com/in/chrisminge,35,Demo-Ready
Luminal,Simple ML framework and cloud for generating fast GPU code.,"SUMMER 2025, B2B, INFRASTRUCTURE",https://luminalai.com/,Joe Fioti,https://linkedin.com/in/joe-fioti-24a986189,Matthew Gunton,https://www.linkedin.com/in/matthewjgunton/,Jake Stevens,https://linkedin.com/in/jake-stevens-,35,Demo-Ready
dScribe AI,Track bulk inventory with autonomous drones and 3D vision,"SUMMER 2025, B2B, SUPPLY CHAIN AND LOGISTICS",https://dscribeai.com/,Jordan Mryyan,https://linkedin.com/in/jordan-mryyan,Cole Robertson,https://www.linkedin.com/in/colemrobertson,Warren Wijaya Wang,https://linkedin.com/in/warrenwang-fnu/,35,Demo-Ready
Anytrace,The AI support engineering agent,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",http://anytrace.ai/,Sam Goldman,https://www.linkedin.com/in/sam-goldman/,Taira Fujioka,https://www.linkedin.com/in/taira-fujioka1999420/,,,30,Demo-Ready
TectoAI,Governance for AI Employees,"SUMMER 2025, B2B",https://www.tecto.ai/,"Niosha Afsharikia, PhD",https://www.linkedin.com/in/afsharikia/,Roksana Baleshzar,https://www.linkedin.com/in/roksana-baleshzar/,,,30,Demo-Ready
stagewise,Frontend coding agent for real codebases,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://stagewise.io/,Julian Goetze,https://www.linkedin.com/in/juliangoetze/,Glenn Töws,https://www.linkedin.com/in/glenntws/,,,30,Demo-Ready
Pally,Pally is an AI Relationship Management Platform,"SUMMER 2025, B2B, PRODUCTIVITY",https://pally.com/,Haz Hubble,https://linkedin.com/in/hazhubble,Wyatt Lansford,https://www.linkedin.com/in/wyattlansford,,,30,Demo-Ready
Outrove,Ultra-realistic AI Recruiter,"SUMMER 2025, B2B, RECRUITING AND TALENT",https://www.outrove.ai/,Ahmed ElShireef,https://www.linkedin.com/in/ahmedelshireef/,Saif Elhager,https://www.linkedin.com/in/saif-elhager-18b96a202,,,30,Demo-Ready
Nottelabs,Reliable Web Agents for Enterprise,"SUMMER 2025, B2B",https://www.notte.cc/,Lucas Giordano,https://www.linkedin.com/in/giordano-lucas/,Andrea Pinto,https://www.linkedin.com/in/pinto-andrea,,,30,Demo-Ready
Fleetline,Optimizing fleet planning with data driven algorithms,"SUMMER 2025, B2B, SUPPLY CHAIN AND LOGISTICS",https://fleetline.ai/,Veer Juneja,https://www.linkedin.com/in/veer-juneja-67255417a/,Saurav Kumar,https://linkedin.com/in/sauravml,,,30,Demo-Ready
Kernel,Crazy Fast Browsers-as-a-Service,"SUMMER 2025, B2B, INFRASTRUCTURE",https://www.onkernel.com/,Catherine Jue,https://www.linkedin.com/in/juecd,Rafael Garcia,https://www.linkedin.com/in/rafgarcia/,,,30,Demo-Ready
Hera,AI Motion Designer,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://hera.video/,Peter Tribelhorn,https://www.linkedin.com/in/peter-tribelhorn-36a967142/,Chia-Lun Wu,https://www.linkedin.com/in/chialunwu/,,,30,Demo-Ready
Reacher,We automate creator marketing for the world's largest brands,"SUMMER 2025, B2B",https://reacherapp.com/,Bora Mutluoglu,https://linkedin.com/in/bora-mutluoglu,Jerry Qian,https://linkedin.com/in/j-qian,,,30,Demo-Ready
RowFlow,We turn rigid forms into AI convos that collect better data faster.,"SUMMER 2025, B2B, OPERATIONS",https://rowflow.ai/,Jack Bubes,https://www.linkedin.com/in/jack-bubes/,Alec Olesky,https://www.linkedin.com/in/alec-olesky/,,,30,Demo-Ready
Modelence,All-in-one TypeScript platform for startups,"SUMMER 2025, B2B, INFRASTRUCTURE",https://modelence.com/,Aram Shatakhtsyan,https://www.linkedin.com/in/artahian/,Eduard Piliposyan,https://www.linkedin.com/in/eduard-piliposyan-phd-8256811a/,,,30,Demo-Ready
Magnetic,Computer-use agents for CPA firms to automate taxes,"SUMMER 2025, B2B, PRODUCTIVITY",https://www.magnetictax.com/,Patrick Fay,https://linkedin.com/in/patrick-fay-5418a822,Thomas Shelley,https://linkedin.com/in/thomasjshelley,,,30,Demo-Ready
Okibi,"Build agents using natural language, it's Lovable for agents","SUMMER 2025, B2B",https://okibi.ai/,Mahyad G,https://www.linkedin.com/in/mahyad-ghassemi/,Saurav Mitra,https://www.linkedin.com/in/thesauravmitra/,,,30,Demo-Ready
Avent,AI agents for industrial commerce,"SUMMER 2025, B2B",https://www.aventindustrial.com/,Abhay Kalra,https://www.linkedin.com/in/abhay-kalra-683688214,,,,,25,SQL (Sales Qualified Lead)
Vibe Code Go,Code from your phone,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://vibecodego.com/,Chris Nolet,https://www.linkedin.com/in/chrisnolet,,,,,25,SQL (Sales Qualified Lead)
Interfere,The self-healing layer of the internet,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://interfere.com/,Luke Shiels,https://linkedin.com/in/shiels,,,,,25,SQL (Sales Qualified Lead)
Juxta,Building a GPS alternative 100x more powerful with no hardware needed.,"SUMMER 2025, B2B",https://usejuxta.org/,John Ferrara,https://www.linkedin.com/in/ferrara-john/,,,,,25,SQL (Sales Qualified Lead)
Clodo,The AI CRM for Real Estate Agents,"SUMMER 2025, REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://clodo.ai/,Rithvik Chuppala,https://www.linkedin.com/in/rithvikchuppala/,Sid Rajaram,https://www.linkedin.com/in/sidharthrajaram/,Arnav Verma,https://www.linkedin.com/in/arnavverma,15,MQL (Marketing Qualified Lead)
Blue,The only voice assistant that can control every app on your phone.,"SUMMER 2025, CONSUMER",https://heyblue.com/,Omar Abdelaziz,https://linkedin.com/in/oabdelaziz/,Farhan Hossain,https://www.linkedin.com/in/mfarhanh/,Peter Krogh,https://www.linkedin.com/in/peter-krogh-820273/,15,MQL (Marketing Qualified Lead)
Cacao,Brazilians can now receive USD & crypto instantly,"SUMMER 2025, FINTECH",https://www.cacaofi.com/,Alec Howard,https://linkedin.com/in/alexandermhoward,Carlos Jimenez,https://www.linkedin.com/in/carlosjimenezcastrillo/,Michael Mason,https://www.linkedin.com/in/mason-michael/,15,MQL (Marketing Qualified Lead)
Daymi,Text your personal AI clone,"SUMMER 2025, CONSUMER",https://www.daymi.ai/,Aldrin Ong,https://www.linkedin.com/in/aldrin0n9/,Noah Yin,https://www.linkedin.com/in/noah-yin/,Jeffrey Yum,https://www.linkedin.com/in/jeffreyyum/,15,MQL (Marketing Qualified Lead)
Veritus Agent,AI agents for loan servicing and collections,"SUMMER 2025, FINTECH, CREDIT AND LENDING",https://www.veritusagent.ai/,Joshua March,https://www.linkedin.com/in/joshuamarch/,David Schlesinger,https://www.linkedin.com/in/davidschles/,Joseph Stein,https://www.linkedin.com/in/josephstein1,15,MQL (Marketing Qualified Lead)
Perspectives Health,AI Agent for Clinic EMRs,"SUMMER 2025, HEALTHCARE, HEALTHCARE IT",https://perspectiveshealth.ai/,Eshan Dosani,https://www.linkedin.com/in/eshan-dosani/,Kyle Hyun Woo Jung,https://www.linkedin.com/in/kyle-hyun-woo-jung-a06814180/,Nicholas Kovalsky,https://www.linkedin.com/in/nicholaskovalsky/,15,MQL (Marketing Qualified Lead)
Spotlight Realty,AI powered brokerage reducing residential rental commissions in NYC…,"SUMMER 2025, REAL ESTATE AND CONSTRUCTION",https://www.spotlight.realty/,Raymond Allie,https://www.linkedin.com/in/raymond-allie/,Jake Phelan,https://www.linkedin.com/in/jacob-phelan-9359222a5,Aryan Sharma,https://www.linkedin.com/in/aryansharma12358,15,MQL (Marketing Qualified Lead)
Flywheel AI,Waymo for excavators,"SUMMER 2025, INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://useflywheel.ai/,Jash Mota,https://www.linkedin.com/in/jashmota/,Mahimana Bhatt,https://www.linkedin.com/in/mahimanabhatt/,,,10,MQL (Marketing Qualified Lead)
Freya,Voice AI Agents For Financial Services And Other Regulated Industries,"SUMMER 2025, FINTECH",https://freyavoice.ai/,Tunga Bayrak,https://www.linkedin.com/in/tunga-bayrak/,Tomas Nepala,https://www.linkedin.com/in/tomas-nepala,,,10,MQL (Marketing Qualified Lead)
RealRoots,RealRoots is a mobile app that guarantees women lifelong friendships.,"SUMMER 2025, CONSUMER, SOCIAL",http://www.therealroots.com/,Tara Kappel,https://linkedin.com/in/tara-kappel-5baa6095,Dorothy Li,https://linkedin.com/in/dorothy-li-994a2213,,,10,MQL (Marketing Qualified Lead)
Locata,AI referral management for Health Centers,"SUMMER 2025, HEALTHCARE, HEALTHCARE IT",https://www.locatahealth.com/,Joshua Chang,https://www.linkedin.com/in/joshua-r-chang/,Alejandro Salinas,https://www.linkedin.com/in/asalinas21/,,,10,MQL (Marketing Qualified Lead)
Nox Metals,"The modern factory for fast, low-cost metals.","SUMMER 2025, INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://noxmetals.co/,Zane Hengsperger,https://www.linkedin.com/in/zanehh/,,,,,5,MQL (Marketing Qualified Lead)
NOSO LABS,Build AI agents for field technicians to diagnose and sell 10x better,"SUMMER 2025, INDUSTRIALS",https://noso.so/,Winston Chi,https://www.linkedin.com/in/lwchi/,,,,,5,MQL (Marketing Qualified Lead)
Munify,The Cross-Border Neobank for the Middle East and its Diaspora,"SUMMER 2025, FINTECH",https://munify.ai/,Khalid Ashmawy,https://www.linkedin.com/in/khalidashmawy/,,,,,5,MQL (Marketing Qualified Lead)
Pleom,Talk to your AI,"SUMMER 2025, CONSUMER, CONSUMER ELECTRONICS",https://pleom.com/,Royce Arockiasamy,https://www.linkedin.com/in/roycea1/,,,,,5,MQL (Marketing Qualified Lead)
